Time,Abundance
50.47657,289.727
50.4867,257.6555
50.49683,230.1728
50.50697,206.755
50.5171,190.5866
50.52723,178.3497
50.53737,161.3341
50.5475,147.5565
50.55763,142.2827
50.56777,130.0793
50.5779,134.258
50.58803,118.9399
50.59817,119.5786
50.60832,118.6249
50.61845,116.5172
50.62858,110.0153
50.63872,115.0359
50.64885,106.7395
50.65898,110.0838
50.66912,117.7881
50.67925,113.7475
50.68938,118.7345
50.69952,120.0885
50.70965,130.8623
50.71978,131.3104
50.72992,148.8095
50.74005,157.5064
50.75018,173.1483
50.76032,200.0175
50.77045,233.723
50.78058,270.7265
50.79072,321.5301
50.80085,383.1681
50.81098,458.6823
50.82113,515.8078
50.83127,559.7151
50.8414,602.8215
50.85153,584.5261
50.86167,528.4403
50.8718,461.5312
50.88193,401.7756
50.89207,318.0431
50.9022,264.6513
50.91233,218.4442
50.92247,196.5964
50.9326,164.6475
50.94273,148.8508
50.95287,143.7649
50.963,131.2263
50.97313,123.7114
50.98327,129.6231
50.9934,129.3281
51.00353,126.1163
51.01367,125.565
51.0238,122.6832
51.03395,112.5786
51.04408,113.541
51.05422,115.6081
51.06435,112.7562
51.07448,109.2381
51.08462,117.0185
51.09475,120.8727
51.10488,116.2913
51.11502,123.3089
51.12515,121.1715
51.13528,125.4927
51.14542,117.3465
51.15555,112.3728
51.16568,114.9011
51.17582,104.1482
51.18595,103.654
51.19608,102.0076
51.20622,99.47279
51.21635,99.0715
51.22648,106.0859
51.23662,107.7692
51.24677,112.4722
51.2569,108.9706
51.26703,114.4624
51.27717,111.3993
51.2873,108.3696
51.29743,106.3211
51.30757,101.4124
51.3177,92.76245
51.32783,93.2849
51.33797,85.79452
51.3481,88.48882
51.35823,84.86452
51.36837,85.91179
51.3785,90.89027
51.38863,86.98421
51.39877,85.15832
51.4089,88.68201
51.41903,96.94658
51.42917,98.46111
51.4393,101.4461
51.44945,102.6927
51.45958,106.6827
51.46972,105.0696
51.47985,106.2022
51.48998,105.2002
51.50012,101.483
51.51025,95.89076
51.52038,97.342
51.53052,93.47413
51.54065,88.1615
51.55078,86.15814
51.56092,82.69585
51.57105,87.05327
51.58118,89.15454
51.59132,82.27776
51.60145,84.61839
51.61158,84.07776
51.62172,82.94687
51.63185,86.93709
51.64198,91.40974
51.65212,85.9183
51.66227,92.98605
51.6724,100.4125
51.68253,103.2058
51.69267,110.4859
51.7028,119.548
51.71293,122.9718
51.72307,124.7416
51.7332,136.4018
51.74333,130.926
51.75347,135.0091
51.7636,124.5827
51.77373,123.9722
51.78387,113.4793
51.794,102.6814
51.80413,96.58327
51.81427,97.83142
51.8244,92.67574
51.83453,95.40041
51.84467,90.20964
51.8548,92.72165
51.86493,93.80836
51.87508,98.1597
51.88522,98.08896
51.89535,99.30352
51.90548,105.7168
51.91562,106.9635
51.92575,105.3792
51.93588,103.0615
51.94602,103.0788
51.95615,95.78183
51.96628,97.6698
51.97642,94.51847
51.98655,90.71313
51.99668,89.97605
52.00682,90.27591
52.01695,92.51137
52.02708,89.44584
52.03722,83.88116
52.04735,87.94868
52.05748,84.28082
52.06762,87.04051
52.07775,91.10118
52.0879,86.15665
52.09803,89.05336
52.10817,92.5905
52.1183,98.39893
52.12843,97.49481
52.13857,105.2504
52.1487,107.8684
52.15883,112.8212
52.16897,117.9215
52.1791,118.7624
52.18923,117.7827
52.19937,114.6292
52.2095,114.5629
52.21963,106.4448
52.22977,103.679
52.2399,102.4032
52.25003,97.84802
52.26017,97.93825
52.2703,87.35486
52.28043,94.27953
52.29057,89.49275
52.30072,95.70477
52.31085,90.1235
52.32098,92.70004
52.33112,94.49937
52.34125,101.3287
52.35138,95.59711
52.36152,103.1297
52.37165,106.8726
52.38178,103.334
52.39192,94.98952
52.40205,95.13651
52.41218,97.37204
52.42232,89.58313
52.43245,94.91188
52.44258,94.76314
52.45272,83.41915
52.46285,87.38783
52.47298,88.22717
52.48312,83.78345
52.49325,84.52401
52.50338,84.52187
52.51353,86.72226
52.52367,88.73582
52.5338,85.32101
52.54393,82.9836
52.55407,85.998
52.5642,85.72368
52.57433,87.78238
52.58447,85.65854
52.5946,89.63203
52.60473,96.06518
52.61487,96.01237
52.625,99.343
52.63513,93.79301
52.64527,96.83376
52.6554,97.3909
52.66553,88.12331
52.67567,94.76776
52.6858,90.27223
52.69593,90.8334
52.70607,84.01577
52.7162,80.93441
52.72635,83.78178
52.73648,80.19889
52.74662,87.25905
52.75675,84.75841
52.76688,85.14811
52.77702,86.58427
52.78715,88.81238
52.79728,92.6177
52.80742,93.02473
52.81755,90.25525
52.82768,91.82537
52.83782,92.51215
52.84795,91.1423
52.85808,95.64573
52.86822,96.8755
52.87835,94.17955
52.88848,96.57289
52.89862,99.46729
52.90875,104.7346
52.91888,103.2707
52.92902,113.5175
52.93917,117.412
52.9493,132.6532
52.95943,135.0664
52.96957,143.4653
52.9797,144.0804
52.98983,148.1535
52.99997,140.6543
53.0101,130.1666
53.02023,124.139
53.03037,116.8232
53.0405,112.2863
53.05063,117.8879
53.06077,119.6546
53.0709,121.4828
53.08103,141.5931
53.09117,172.4214
53.1013,227.171
53.11143,284.0854
53.12157,362.9801
53.1317,447.9644
53.14183,500.293
53.15198,536.8209
53.16212,520.9181
53.17225,488.8813
53.18238,433.3081
53.19252,374.3739
53.20265,315.9046
53.21278,265.2234
53.22292,219.7147
53.23305,194.8483
53.24318,185.2335
53.25332,171.9007
53.26345,154.9101
53.27358,157.5646
53.28372,151.9441
53.29385,144.381
53.30398,130.1328
53.31412,126.2144
53.32425,120.9794
53.33438,120.3059
53.34452,110.0612
53.35467,104.0706
53.3648,98.66061
53.37493,96.06609
53.38507,94.58075
53.3952,98.72918
53.40533,93.01339
53.41547,97.78
53.4256,95.59457
53.43573,96.15117
53.44587,93.40337
53.456,94.33495
53.46613,88.31126
53.47627,87.61987
53.4864,94.81612
53.49653,89.567
53.50667,87.10114
53.5168,88.44053
53.52693,93.05441
53.53707,90.77322
53.5472,86.88014
53.55733,88.86756
53.56748,90.44255
53.57762,87.17667
53.58775,88.59016
53.59788,87.00223
53.60802,85.65991
53.61815,89.23824
53.62828,91.186
53.63842,86.72491
53.64855,87.974
53.65868,91.6254
53.66882,93.6917
53.67895,86.24268
53.68908,92.05928
53.69922,87.41289
53.70935,93.47652
53.71948,90.43944
53.72962,88.34012
53.73975,88.90541
53.74988,90.95029
53.76002,90.71111
53.77015,91.47517
53.7803,83.55443
53.79043,86.87575
53.80057,87.00006
53.8107,88.56972
53.82083,92.41076
53.83097,97.14581
53.8411,109.6388
53.85123,132.464
53.86137,164.0977
53.8715,227.0349
53.88163,297.0587
53.89177,373.5632
53.9019,446.446
53.91203,513.6325
53.92217,522.6663
53.9323,514.7998
53.94243,495.9066
53.95257,445.2653
53.9627,384.5731
53.97283,328.3246
53.98297,286.4149
53.99312,265.364
54.00325,267.9976
54.01338,276.4637
54.02352,296.032
54.03365,317.0499
54.04378,325.5274
54.05392,324.6561
54.06405,295.6052
54.07418,275.5963
54.08432,233.9012
54.09445,198.1472
54.10458,166.2239
54.11472,149.0302
54.12485,127.485
54.13498,115.4047
54.14512,112.0288
54.15525,106.4008
54.16538,101.3404
54.17552,103.9781
54.18565,103.6829
54.19578,99.63225
54.20593,102.2421
54.21607,101.3995
54.2262,98.99669
54.23633,94.00548
54.24647,95.98047
54.2566,96.08231
54.26673,94.84857
54.27687,96.92293
54.287,92.83696
54.29713,96.90242
54.30727,94.88167
54.3174,96.95596
54.32753,89.50011
54.33767,93.68458
54.3478,96.54416
54.35793,94.04534
54.36807,99.77798
54.3782,96.37531
54.38833,95.42731
54.39847,98.6461
54.4086,99.4361
54.41875,99.60402
54.42888,96.64624
54.43902,101.9103
54.44915,98.52989
54.45928,106.4658
54.46942,103.4901
54.47955,100.9535
54.48968,103.4529
54.49982,100.7179
54.50995,96.96619
54.52008,100.8232
54.53022,98.11033
54.54035,103.1414
54.55048,110.6065
54.56062,120.5569
54.57075,139.9571
54.58088,153.9123
54.59102,173.3592
54.60115,188.8851
54.61128,219.2984
54.62142,229.9634
54.63157,238.2037
54.6417,237.5851
54.65183,234.2933
54.66197,231.4696
54.6721,232.3747
54.68223,256.0961
54.69237,294.5375
54.7025,370.8555
54.71263,454.7758
54.72277,581.4279
54.7329,670.0139
54.74303,748.8652
54.75317,737.7769
54.7633,724.5177
54.77343,676.7374
54.78357,581.6044
54.7937,490.922
54.80383,392.7265
54.81397,311.5426
54.8241,243.0651
54.83423,205.3079
54.84438,178.2449
54.85452,152.7955
54.86465,143.9745
54.87478,138.4399
54.88492,136.1807
54.89505,138.3286
54.90518,129.1302
54.91532,124.7596
54.92545,114.4218
54.93558,115.411
54.94572,112.536
54.95585,118.4672
54.96598,115.2717
54.97612,112.2246
54.98625,110.7405
54.99638,107.4122
55.00652,106.7988
55.01665,114.7554
55.02678,106.3444
55.03692,109.7593
55.04705,109.9445
55.0572,117.0947
55.06733,113.2473
55.07747,109.0152
55.0876,113.228
55.09773,113.072
55.10787,115.0418
55.118,110.7491
55.12813,111.7417
55.13827,111.1435
55.1484,106.4059
55.15853,112.4546
55.16867,103.5137
55.1788,103.5831
55.18893,109.4484
55.19907,102.6277
55.2092,99.98508
55.21933,103.1786
55.22947,106.1902
55.2396,101.1206
55.24973,95.92746
55.25988,97.88529
55.27002,97.97171
55.28015,97.42224
55.29028,102.7193
55.30042,97.50486
55.31055,102.5458
55.32068,96.22307
55.33082,103.2278
55.34095,97.01826
55.35108,100.3252
55.36122,102.4594
55.37135,102.6346
55.38148,109.0571
55.39162,111.5559
55.40175,109.6138
55.41188,110.5321
55.42202,111.5
55.43215,111.4768
55.44228,117.6131
55.45242,124.3999
55.46255,121.0382
55.4727,117.2207
55.48283,129.8774
55.49297,141.4263
55.5031,174.8165
55.51323,220.6885
55.52337,272.6614
55.5335,356.5883
55.54363,433.559
55.55377,503.6355
55.5639,546.2347
55.57403,544.6627
55.58417,503.3398
55.5943,439.7258
55.60443,360.422
55.61457,292.4197
55.6247,238.623
55.63483,198.3516
55.64497,167.2653
55.6551,150.0377
55.66523,140.8962
55.67537,133.8926
55.68552,133.2079
55.69565,118.8231
55.70578,122.0085
55.71592,128.4125
55.72605,132.1143
55.73618,138.2189
55.74632,145.3423
55.75645,173.7254
55.76658,196.1011
55.77672,213.7625
55.78685,222.4543
55.79698,238.8922
55.80712,222.883
55.81725,208.7357
55.82738,182.1869
55.83752,184.087
55.84765,176.9945
55.85778,168.6536
55.86792,178.6923
55.87805,216.0451
55.88818,256.4397
55.89833,321.7123
55.90847,368.0288
55.9186,408.6814
55.92873,407.4623
55.93887,355.636
55.949,303.0905
55.95913,250.3392
55.96927,231.7532
55.9794,201.7093
55.98953,185.9238
55.99967,184.8616
56.0098,168.1447
56.01993,164.647
56.03007,160.3234
56.0402,158.5627
56.05033,162.7569
56.06047,158.8742
56.0706,159.4774
56.08073,152.5901
56.09087,159.5212
56.101,145.37
56.11115,149.8102
56.12128,155.8289
56.13142,153.6519
56.14155,165.1951
56.15168,158.967
56.16182,153.4793
56.17195,154.6795
56.18208,157.6743
56.19222,146.4209
56.20235,145.3824
56.21248,152.2371
56.22262,150.4849
56.23275,149.8681
56.24288,148.7408
56.25302,150.8242
56.26315,155.6098
56.27328,152.7872
56.28342,154.7591
56.29355,155.5116
56.30368,158.1782
56.31382,153.2069
56.32397,159.1544
56.3341,155.8372
56.34423,155.5381
56.35437,155.3315
56.3645,157.6016
56.37463,149.4553
56.38477,155.2481
56.3949,154.2892
56.40503,158.3353
56.41517,163.119
56.4253,160.7648
56.43543,163.9768
56.44557,170.3107
56.4557,170.335
56.46583,165.3363
56.47597,167.7995
56.4861,163.4096
56.49623,159.861
56.50637,162.7889
56.5165,164.6968
56.52663,173.6526
56.53678,184.9536
56.54692,199.5344
56.55705,242.9247
56.56718,330.9878
56.57732,416.5083
56.58745,425.0204
56.59758,352.8763
56.60772,293.313
56.61785,245.5033
56.62798,226.8639
56.63812,212.0177
56.64825,207.9776
56.65838,203.507
56.66852,208.0913
56.67865,200.2305
56.68878,194.1752
56.69892,189.9998
56.70905,189.7269
56.71918,190.7867
56.72932,188.9481
56.73945,194.7479
56.7496,201.9821
56.75973,206.5946
